127.0.0.1 - - [22/Aug/2019:13:53:16 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/show HTTP/1.1" 200 9309
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/h1.png HTTP/1.1" 200 17477
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/s1.jpg HTTP/1.1" 200 20035
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/o1.jpg HTTP/1.1" 200 9900
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/b1.jpg HTTP/1.1" 200 16130
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/st1.jpg HTTP/1.1" 200 23804
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/s3.jpg HTTP/1.1" 200 34354
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/s2.jpg HTTP/1.1" 200 10929
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/s5.jpg HTTP/1.1" 200 13411
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/s4.jpg HTTP/1.1" 200 13411
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/b2.jpg HTTP/1.1" 200 11075
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/b3.jpg HTTP/1.1" 200 9043
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/b4.jpg HTTP/1.1" 200 10338
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/t2.jpg HTTP/1.1" 200 66860
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/b5.jpg HTTP/1.1" 200 9287
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/t1.jpg HTTP/1.1" 200 25919
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/t5.jpg HTTP/1.1" 200 49287
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/t3.jpg HTTP/1.1" 200 29378
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/t4.jpg HTTP/1.1" 200 36577
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/o3.jpg HTTP/1.1" 200 16314
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/o2.jpg HTTP/1.1" 200 20059
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/st2.jpg HTTP/1.1" 200 9642
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/o5.JPG HTTP/1.1" 200 25980
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/st3.jpg HTTP/1.1" 200 9389
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/o4.JPG HTTP/1.1" 200 19107
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/st4.jpg HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /furniture/images/st5.jpg HTTP/1.1" 200 17570
0:0:0:0:0:0:0:1 - - [22/Aug/2019:13:53:19 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:23:29 +0530] "GET /furniture/cart.jsp HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:23:50 +0530] "GET /furniture/show HTTP/1.1" 200 9309
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:23:57 +0530] "POST /furniture/show HTTP/1.1" 200 9759
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:24:05 +0530] "POST /furniture/show HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:24:10 +0530] "POST /furniture/checkout.jsp HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:24:29 +0530] "POST /furniture/checkout.jsp HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [22/Aug/2019:14:24:36 +0530] "GET /furniture/logout.jsp HTTP/1.1" 200 1076
